x,y,z,entanglement
750,0,0,nan
750,0,10,0
750,0,20,0
750,0,30,0
750,0,40,0
750,0,50,0.00595838
750,0,60,0.0517651
750,0,70,0.0994252
750,0,80,0.103244
750,0,90,0.0479933
750,0,100,0.0479933
750,0,110,0.00882182
750,0,120,0.00308417
750,0,130,0
750,0,140,nan
750,0,150,nan
750,0,160,nan
750,0,170,nan
750,0,180,nan
750,0,190,nan
750,0,200,nan
750,0,210,nan
750,0,220,nan
750,0,230,nan
750,0,240,nan
750,0,250,nan
750,10,0,nan
750,10,10,0
750,10,20,0
750,10,30,0
750,10,40,0.00636744
750,10,50,0.0536646
750,10,60,0.180242
750,10,70,0.2007
750,10,80,0.194496
750,10,90,0.156125
750,10,100,0.100377
750,10,110,0.0728341
750,10,120,0.00750477
750,10,130,0.00308417
750,10,140,0
750,10,150,nan
750,10,160,nan
750,10,170,nan
750,10,180,nan
750,10,190,nan
750,10,200,nan
750,10,210,nan
750,10,220,nan
750,10,230,nan
750,10,240,nan
750,10,250,nan
750,20,0,0
750,20,10,0
750,20,20,0
750,20,30,0.0164059
750,20,40,0.0267895
750,20,50,0.175846
750,20,60,0.316681
750,20,70,0.315904
750,20,80,0.326146
750,20,90,0.300974
750,20,100,0.220659
750,20,110,0.170642
750,20,120,0.0893565
750,20,130,0.00766971
750,20,140,7.72704e-05
750,20,150,0
750,20,160,0
750,20,170,nan
750,20,180,nan
750,20,190,nan
750,20,200,nan
750,20,210,nan
750,20,220,nan
750,20,230,nan
750,20,240,nan
750,20,250,nan
750,30,0,0
750,30,10,0
750,30,20,0
750,30,30,0.0267895
750,30,40,0.035477
750,30,50,0.294456
750,30,60,0.376527
750,30,70,0.490367
750,30,80,0.537098
750,30,90,0.440419
750,30,100,0.329447
750,30,110,0.293624
750,30,120,0.187424
750,30,130,0.0166651
750,30,140,0.000595754
750,30,150,0
750,30,160,0
750,30,170,0
750,30,180,nan
750,30,190,nan
750,30,200,nan
750,30,210,nan
750,30,220,nan
750,30,230,nan
750,30,240,nan
750,30,250,nan
750,40,0,0
750,40,10,0
750,40,20,0
750,40,30,0.035477
750,40,40,0.0419498
750,40,50,0.357643
750,40,60,0.53163
750,40,70,0.687545
750,40,80,0.676033
750,40,90,0.563584
750,40,100,0.481837
750,40,110,0.446016
750,40,120,0.325463
750,40,130,0.134399
750,40,140,0.134395
750,40,150,0.0595177
750,40,160,7.3144e-05
750,40,170,0
750,40,180,0
750,40,190,nan
750,40,200,nan
750,40,210,nan
750,40,220,nan
750,40,230,nan
750,40,240,nan
750,40,250,nan
750,50,0,nan
750,50,10,0
750,50,20,0.000690473
750,50,30,0.0329513
750,50,40,0.0435087
750,50,50,0.366751
750,50,60,0.684903
750,50,70,0.877606
750,50,80,0.862416
750,50,90,0.785498
750,50,100,0.622201
750,50,110,0.837698
750,50,120,0.816061
750,50,130,0.580798
750,50,140,0.373973
750,50,150,0.270552
750,50,160,0.216148
750,50,170,0.00161392
750,50,180,0
750,50,190,nan
750,50,200,nan
750,50,210,nan
750,50,220,nan
750,50,230,nan
750,50,240,nan
750,50,250,nan
750,60,0,nan
750,60,10,0.000500101
750,60,20,0.00230259
750,60,30,0.00720119
750,60,40,0.0500796
750,60,50,0.307221
750,60,60,0.839405
750,60,70,1.05938
750,60,80,0.95334
750,60,90,0.882833
750,60,100,0.886516
750,60,110,1.3441
750,60,120,1.12159
750,60,130,0.75547
750,60,140,0.426104
750,60,150,0.3685
750,60,160,0.312637
750,60,170,0.147035
750,60,180,0.00148633
750,60,190,nan
750,60,200,nan
750,60,210,nan
750,60,220,nan
750,60,230,nan
750,60,240,nan
750,60,250,nan
750,70,0,0
750,70,10,0
750,70,20,0.0125702
750,70,30,0.0230024
750,70,40,0.0439932
750,70,50,0.392451
750,70,60,1.04469
750,70,70,1.11985
750,70,80,1.0047
750,70,90,0.996352
750,70,100,1.378
750,70,110,1.46974
750,70,120,1.36169
750,70,130,0.906461
750,70,140,0.45414
750,70,150,0.39956
750,70,160,0.346303
750,70,170,0.29937
750,70,180,0.00568176
750,70,190,nan
750,70,200,nan
750,70,210,nan
750,70,220,nan
750,70,230,nan
750,70,240,nan
750,70,250,nan
750,80,0,0
750,80,10,0.00307216
750,80,20,0.0281746
750,80,30,0.0446588
750,80,40,0.0510354
750,80,50,0.482522
750,80,60,0.918307
750,80,70,1.06116
750,80,80,1.01137
750,80,90,1.02659
750,80,100,1.45117
750,80,110,1.52283
750,80,120,1.42659
750,80,130,1.18862
750,80,140,0.497343
750,80,150,0.455269
750,80,160,0.407942
750,80,170,0.328502
750,80,180,0
750,80,190,0
750,80,200,nan
750,80,210,nan
750,80,220,nan
750,80,230,nan
750,80,240,nan
750,80,250,nan
750,90,0,0
750,90,10,0.0240324
750,90,20,0.04604
750,90,30,0.04604
750,90,40,0.0463901
750,90,50,0.577842
750,90,60,0.884398
750,90,70,1.05442
750,90,80,1.0742
750,90,90,1.01086
750,90,100,1.45737
750,90,110,1.54516
750,90,120,1.44072
750,90,130,1.30736
750,90,140,0.607878
750,90,150,0.424457
750,90,160,0.420378
750,90,170,0.29873
750,90,180,0.0425364
750,90,190,0
750,90,200,nan
750,90,210,nan
750,90,220,nan
750,90,230,nan
750,90,240,nan
750,90,250,nan
750,100,0,0.00205118
750,100,10,0.0364835
750,100,20,0.0455447
750,100,30,0.04604
750,100,40,0.0548311
750,100,50,0.527494
